buoy_id,timestamp,lat,lon,speed_kn,course_deg,in_area
MGO184199,2025-11-03 22:45:00.000000000,-4.258833,10.481833,0.4,299.5,True
MGO176595,2025-11-03 22:44:00.000000000,-4.59,10.161333,0.3,226.6,True
MGO198882,2025-11-03 22:44:00.000000000,-2.664833,9.4135,0.0,233.1,False
MGO174817,2025-11-03 22:42:00.000000000,-3.209333,10.093167,0.0,63.4,False
MGO190082,2025-11-03 22:36:00.000000000,-2.274167,8.950167,0.4,274.1,False
MGO174816,2025-11-03 22:26:00.000000000,-2.9775,9.847333,1.2,332.4,False
MGO191576,2025-11-03 22:17:00.000000000,-1.480333,8.488167,1.0,164.3,False
MGO133435,2025-11-03 22:12:00.000000000,-4.604667,10.142667,0.6,248.4,False
MGO174828,2025-11-03 22:06:00.000000000,-4.733833,9.662,0.3,248.7,False
MGO198689,2025-11-03 22:05:00.000000000,-1.418167,8.5705,0.7,168.5,False
MGO178982,2025-11-03 22:00:00.000000000,-2.655833,9.5405,0.7,299.1,False
MGO198527,2025-11-03 21:58:00.000000000,-1.364833,8.348,0.8,167.3,False
MGO176608,2025-11-03 21:57:00.000000000,-5.966333,10.772333,0.1,198.3,False
MGO184371,2025-11-03 21:45:00.000000000,-4.5225,9.691333,0.2,211.5,False
MGO176470,2025-11-03 21:39:00.000000000,-4.8345,8.617667,0.2,167.1,False
MGO174809,2025-11-03 21:12:00.000000000,-3.511,7.227167,0.1,135.1,False
MGO174812,2025-11-03 21:12:00.000000000,-4.976667,10.918833,0.2,302.5,False
MGO184369,2025-11-03 21:07:00.000000000,-5.986333,10.498667,0.2,194.6,False
MGO184222,2025-11-03 21:05:00.000000000,-3.918667,10.868833,0.0,315.1,False
MGO184291,2025-11-03 21:05:00.000000000,-2.019833,7.756,0.5,237.0,False
MGO184179,2025-11-03 21:04:00.000000000,-3.163333,9.976167,0.0,135.0,False
MGO179041,2025-11-03 21:03:00.000000000,-2.441667,9.263,0.1,279.7,False
MGO174216,2025-11-03 20:58:00.000000000,-5.395167,9.569333,0.3,114.2,False
MGO199125,2025-11-03 20:56:00.000000000,-5.294167,10.847167,0.2,307.2,False
MGO198526,2025-11-03 20:25:00.000000000,-1.758167,8.102,0.8,173.5,False
MGO133361,2025-11-03 20:13:00.000000000,-5.3635,9.945667,0.3,153.7,False
MGO199106,2025-11-03 20:01:00.000000000,-3.268167,10.244333,0.0,206.6,False
MGO199103,2025-11-03 19:55:00.000000000,-1.6895,8.755833,0.5,157.5,False
MGO179119,2025-11-03 19:46:00.000000000,-2.424333,9.291,0.0,44.8,False
MGO184082,2025-11-03 19:27:00.000000000,-4.8025,8.439833,0.2,155.3,False
MGO184177,2025-11-03 19:26:00.000000000,-3.529167,10.5125,0.6,296.1,False
MGO177429,2025-11-03 19:22:00.000000000,-2.729167,8.170667,0.5,309.2,False
MGO184301,2025-11-03 19:21:00.000000000,-3.9745,9.5465,0.2,246.1,False
MGO184110,2025-11-03 19:19:00.000000000,-4.3255,9.549167,0.1,158.3,False
MGO176384,2025-11-03 19:17:00.000000000,-3.561167,7.648,0.3,198.2,False
MGO176526,2025-11-03 19:17:00.000000000,-5.080833,8.875,0.3,142.3,False
MGO176336,2025-11-03 19:16:00.000000000,-4.2575,7.828167,0.3,121.0,False
MGO176391,2025-11-03 19:16:00.000000000,-4.229667,8.008333,0.2,170.0,False
MGO176263,2025-11-03 19:16:00.000000000,-5.251667,9.876833,0.3,143.3,False
MGO176467,2025-11-03 19:10:00.000000000,-5.314167,10.293,0.3,182.0,False
MGO178918,2025-11-03 19:10:00.000000000,-2.342167,9.411333,0.0,180.0,False
MGO176255,2025-11-03 19:07:00.000000000,-2.611,8.343167,0.3,202.3,True
MGO176462,2025-11-03 19:04:00.000000000,-3.864167,8.7355,0.1,262.3,False
MGO198870,2025-11-03 19:04:00.000000000,-3.895167,9.296833,0.5,266.0,False
MGO184186,2025-11-03 18:58:00.000000000,-5.7795,10.6995,0.1,3.7,False
MGO184199,2025-11-03 18:45:00.000000000,-4.2715,10.504,0.6,304.0,True
MGO198882,2025-11-03 18:44:00.000000000,-2.663833,9.414833,0.1,277.0,False
MGO176595,2025-11-03 18:44:00.000000000,-4.576667,10.1755,0.2,237.8,True
MGO174817,2025-11-03 18:42:00.000000000,-3.2095,10.092833,0.0,0.0,False
MGO190082,2025-11-03 18:36:00.000000000,-2.276,8.9735,0.5,274.9,False
MGO174816,2025-11-03 18:26:00.000000000,-3.046833,9.883667,1.3,323.7,False
MGO191576,2025-11-03 18:18:00.000000000,-1.416833,8.470333,0.9,171.1,False
MGO133435,2025-11-03 18:11:00.000000000,-4.589667,10.180667,0.4,267.5,True
MGO198689,2025-11-03 18:06:00.000000000,-1.371667,8.561,0.7,172.6,False
MGO174828,2025-11-03 18:06:00.000000000,-4.727667,9.677833,0.2,228.3,False
MGO178982,2025-11-03 18:00:00.000000000,-2.678333,9.581,1.0,308.0,False
MGO176608,2025-11-03 17:56:00.000000000,-5.959833,10.7745,0.2,233.4,False
MGO184371,2025-11-03 17:46:00.000000000,-4.511667,9.698,0.1,175.9,False
MGO176470,2025-11-03 17:39:00.000000000,-4.8215,8.614667,0.3,199.7,False
MGO174812,2025-11-03 17:17:00.000000000,-4.985333,10.9325,0.3,303.1,False
MGO174809,2025-11-03 17:15:00.000000000,-3.5055,7.221667,0.2,173.1,False
MGO184369,2025-11-03 17:07:00.000000000,-5.971667,10.5025,0.2,196.3,False
MGO184222,2025-11-03 17:06:00.000000000,-3.918833,10.869,0.0,116.6,False
MGO179041,2025-11-03 17:05:00.000000000,-2.443,9.270833,0.5,289.8,False
MGO184291,2025-11-03 17:05:00.000000000,-2.002333,7.783,0.5,278.0,False
MGO184179,2025-11-03 17:04:00.000000000,-3.163167,9.976,0.0,0.0,False
MGO199125,2025-11-03 16:58:00.000000000,-5.3035,10.8595,0.3,294.0,False
MGO174216,2025-11-03 16:58:00.000000000,-5.388167,9.553667,0.1,122.7,False
SLX+481061,2025-11-03 16:26:00.000000000,-5.90695,7.51573,0.16,182.0,False
MGO198526,2025-11-03 16:24:00.000000000,-1.702833,8.095667,0.8,174.0,False
MGO133361,2025-11-03 16:13:00.000000000,-5.344333,9.936167,0.2,195.0,False
