Name,LastTX TimeStamp,Latitude,Longitude,SOG,COG
MGO184371,01-11-2025 21:46,-4.5005,9.771167,0.1,354.8
MGO196968,01-11-2025 21:07,-6.438,10.246,0.5,186.7
MGO199125,01-11-2025 20:57,-5.407667,10.966167,0.2,115.4
MGO133427,01-11-2025 21:51,-5.399,9.733,0.4,71.7
MGO133435,01-11-2025 22:11,-4.6075,10.413333,0.1,16.6
MGO190082,01-11-2025 22:36,-2.469167,9.240333,0.5,320.6
MGO198882,01-11-2025 22:45,-2.738333,9.521667,0.3,328.7
MGO174828,01-11-2025 22:06,-4.743667,9.8025,0.1,321.1
MGO174815,01-11-2025 22:27,-4.628667,8.177167,0,146.4
MGO174816,01-11-2025 22:26,-3.997333,10.382833,1.1,344.6
MGO174817,01-11-2025 22:41,-3.2095,10.093,0,180
MGO176595,01-11-2025 22:44,-4.559,10.266833,0,353.3
MGO176608,01-11-2025 21:56,-5.7805,10.822167,0.4,168.5
MGO178982,01-11-2025 22:00,-3.045333,10.074,0.7,311.5
MGO184199,01-11-2025 22:44,-4.497667,10.699667,0.2,28
MGO176255,01-11-2025 23:07,-2.4945,8.5035,0.2,294.8
MGO176263,01-11-2025 23:16,-5.156833,9.838333,0.2,76.3
MGO176384,01-11-2025 23:17,-3.373333,7.780667,0.3,232.2
MGO176391,01-11-2025 23:16,-4.148833,7.9555,0.1,69.7
MGO176462,01-11-2025 23:04,-3.834,8.786333,0.1,25.7
MGO176467,01-11-2025 23:10,-5.1475,10.293333,0.2,141.5
MGO176526,01-11-2025 23:18,-5.034,8.865333,0.1,8.3
MGO176724,01-11-2025 23:12,-3.47,7.215167,0.2,243.7
MGO177429,01-11-2025 23:22,-3.092833,8.336333,0.4,351.1
MGO178918,01-11-2025 23:05,-2.341667,9.411,0,146.3
MGO184110,01-11-2025 23:20,-4.258167,9.5985,0.1,316.5
MGO184082,01-11-2025 23:27,-4.719667,8.456167,0.1,46.3
MGO184177,01-11-2025 23:27,-3.896667,10.884667,0,270
MGO184186,01-11-2025 22:58,-5.726333,10.7995,0.3,123.2
MGO184301,01-11-2025 23:20,-3.9245,9.6165,0.1,30.9
MGO198870,01-11-2025 23:04,-3.925167,9.649167,0.4,303.1
MGO199106,02-11-2025 00:01,-3.268333,10.244333,0,180
MGO133361,02-11-2025 00:13,-5.213167,9.954833,0.2,82.6
MGO133384,01-11-2025 23:54,-6.538,10.333333,0.5,184.5
MGO176470,02-11-2025 01:39,-4.737333,8.652667,0.1,16.6
MGO174809,02-11-2025 01:13,-3.381167,7.263,0.1,264.1
MGO174812,02-11-2025 01:17,-5.112167,11.038833,0,63.3
MGO174216,02-11-2025 00:58,-5.380333,9.471,0.3,50.9
MGO183921,02-11-2025 01:02,-6.133333,10.837,0.1,157.5
MGO184179,02-11-2025 01:04,-3.306833,10.126833,0.4,318.4
MGO184222,02-11-2025 01:07,-3.918667,10.868667,0,180
MGO184291,02-11-2025 01:05,-2.114,8.059,0.9,348.1
MGO184369,02-11-2025 01:06,-5.815833,10.561667,0.3,174.3
MGO184371,02-11-2025 01:46,-4.495333,9.764333,0.1,307.2
MGO196968,02-11-2025 01:07,-6.473333,10.245167,0.5,181.3
MGO199125,02-11-2025 00:57,-5.4055,10.965333,0,339
MGO174828,02-11-2025 02:06,-4.735167,9.801833,0.1,355.4
MGO174815,02-11-2025 02:27,-4.631,8.182167,0.1,116.6
MGO174816,02-11-2025 02:26,-3.911667,10.353667,1.4,341.2
MGO174817,02-11-2025 02:42,-3.2095,10.092833,0,270
MGO176595,02-11-2025 02:44,-4.554333,10.266,0.1,349.6
MGO176608,02-11-2025 01:58,-5.796833,10.828,0.3,160.4
MGO178982,02-11-2025 02:01,-3.012833,10.033833,0.8,309
MGO184199,02-11-2025 02:45,-4.477167,10.7075,0.3,20.9
MGO133427,02-11-2025 01:51,-5.394667,9.75,0.3,75.6
MGO133435,02-11-2025 02:11,-4.604667,10.396333,0.3,279.5
MGO190082,02-11-2025 02:36,-2.424,9.218167,0.8,334
MGO198882,02-11-2025 02:44,-2.7255,9.510667,0.3,319.4
MGO176255,02-11-2025 03:08,-2.490333,8.487333,0.2,284.5
MGO176263,02-11-2025 03:16,-5.153333,9.851833,0.2,75.4
MGO176384,02-11-2025 03:19,-3.3875,7.771667,0.3,212.4
